===========================================
Test for Table1. preprocess-BKZs: 10~40, PnjBKZs: [(55, 1)]
Preprocess: Starting a BKZ-10 tour. 
Preprocess: Starting a BKZ-11 tour. 
Preprocess: Starting a BKZ-12 tour. 
Preprocess: Starting a BKZ-13 tour. 
Preprocess: Starting a BKZ-14 tour. 
Preprocess: Starting a BKZ-15 tour. 
Preprocess: Starting a BKZ-16 tour. 
Preprocess: Starting a BKZ-17 tour. 
Preprocess: Starting a BKZ-18 tour. 
Preprocess: Starting a BKZ-19 tour. 
Preprocess: Starting a BKZ-20 tour. 
Preprocess: Starting a BKZ-21 tour. 
Preprocess: Starting a BKZ-22 tour. 
Preprocess: Starting a BKZ-23 tour. 
Preprocess: Starting a BKZ-24 tour. 
Preprocess: Starting a BKZ-25 tour. 
Preprocess: Starting a BKZ-26 tour. 
Preprocess: Starting a BKZ-27 tour. 
Preprocess: Starting a BKZ-28 tour. 
Preprocess: Starting a BKZ-29 tour. 
Preprocess: Starting a BKZ-30 tour. 
Preprocess: Starting a BKZ-31 tour. 
Preprocess: Starting a BKZ-32 tour. 
Preprocess: Starting a BKZ-33 tour. 
Preprocess: Starting a BKZ-34 tour. 
Preprocess: Starting a BKZ-35 tour. 
Preprocess: Starting a BKZ-36 tour. 
Preprocess: Starting a BKZ-37 tour. 
Preprocess: Starting a BKZ-38 tour. 
Preprocess: Starting a BKZ-39 tour. 
-------------------------
n=55, alpha=0.0050, dim = 184

Intial Slope = -0.05524

ln(||b0||) = 16.037251. 

Starting a pnjBKZ-55-1 tour.

 k:0, b:48, f:0 , RAM cost: 0.1068 GB 
 k:0, b:49, f:1 , RAM cost: 1.6039 GB 
 k:0, b:50, f:2 , RAM cost: 1.6090 GB 
 k:0, b:51, f:3 , RAM cost: 1.6136 GB 
 k:0, b:52, f:4 , RAM cost: 1.6178 GB 
 k:0, b:53, f:5 , RAM cost: 1.6196 GB 
 k:0, b:54, f:6 , RAM cost: 1.6224 GB 
 k:0, b:55, f:7 , RAM cost: 1.6244 GB 
 k:0, b:56, f:8 , RAM cost: 1.6264 GB 
 k:0, b:57, f:9 , RAM cost: 1.6310 GB 
 k:0, b:58, f:10 , RAM cost: 1.6351 GB 
 k:0, b:59, f:11 , RAM cost: 1.6369 GB 
 k:0, b:60, f:12 , RAM cost: 1.6389 GB 
 k:0, b:61, f:13 , RAM cost: 1.6435 GB 
 k:0, b:62, f:14 , RAM cost: 1.6435 GB 
 k:0, b:63, f:15 , RAM cost: 1.6454 GB 
 k:0, b:64, f:16 , RAM cost: 1.6458 GB 
 k:0, b:65, f:17 , RAM cost: 1.6458 GB 
 k:0, b:66, f:18 , RAM cost: 1.6479 GB 
 k:0, b:67, f:19 , RAM cost: 1.6521 GB 
 k:1, b:67, f:19 , RAM cost: 1.6538 GB 
 k:2, b:67, f:19 , RAM cost: 1.6563 GB 
 k:3, b:67, f:19 , RAM cost: 1.6564 GB 
 k:4, b:67, f:19 , RAM cost: 1.6563 GB 
 k:5, b:67, f:19 , RAM cost: 1.6561 GB 
 k:6, b:67, f:19 , RAM cost: 1.6582 GB 
 k:7, b:67, f:19 , RAM cost: 1.6607 GB 
