-------------------------
Primal attack, LWE challenge n=80, alpha=0.0050
Chose 270 samples. Predict solution at bkz-100 + svp-132

GSO precision:  qd
Intial Slope = -0.06533

Starting a pnjBKZ-74 tour. 

 k:0, b:57, f:0 , RAM cost: 0.1838 GB 
 k:0, b:60, f:3 , RAM cost: 1.6697 GB 
 k:0, b:63, f:6 , RAM cost: 1.6749 GB 
 k:0, b:66, f:9 , RAM cost: 1.6753 GB 
 k:0, b:69, f:12 , RAM cost: 1.6795 GB 
 k:0, b:72, f:15 , RAM cost: 1.6838 GB 
 k:0, b:75, f:18 , RAM cost: 1.6880 GB 
 k:0, b:78, f:21 , RAM cost: 1.6901 GB 
 k:0, b:81, f:24 , RAM cost: 1.6943 GB 
 k:0, b:84, f:27 , RAM cost: 1.6984 GB 
 k:0, b:86, f:29 , RAM cost: 1.6985 GB 
 k:3, b:86, f:29 , RAM cost: 1.7005 GB 
 k:6, b:86, f:29 , RAM cost: 1.7051 GB 
 k:9, b:86, f:29 , RAM cost: 1.7050 GB 
 k:12, b:86, f:29 , RAM cost: 1.7049 GB 
 k:15, b:86, f:29 , RAM cost: 1.7075 GB 
 k:18, b:86, f:29 , RAM cost: 1.7092 GB 
 k:21, b:86, f:29 , RAM cost: 1.7115 GB 
 k:24, b:86, f:29 , RAM cost: 1.7134 GB 
 k:27, b:86, f:29 , RAM cost: 1.7157 GB 
 k:30, b:86, f:29 , RAM cost: 1.7158 GB 
 k:33, b:86, f:29 , RAM cost: 1.7199 GB 
 k:36, b:86, f:29 , RAM cost: 1.7201 GB 
 k:39, b:86, f:29 , RAM cost: 1.7200 GB 
 k:42, b:86, f:29 , RAM cost: 1.7203 GB 
 k:45, b:86, f:29 , RAM cost: 1.7204 GB 
 k:48, b:86, f:29 , RAM cost: 1.7223 GB 
 k:51, b:86, f:29 , RAM cost: 1.7245 GB 
 k:54, b:86, f:29 , RAM cost: 1.7246 GB 
 k:57, b:86, f:29 , RAM cost: 1.7249 GB 
 k:60, b:86, f:29 , RAM cost: 1.7246 GB 
 k:63, b:86, f:29 , RAM cost: 1.7248 GB 
 k:66, b:86, f:29 , RAM cost: 1.7250 GB 
 k:69, b:86, f:29 , RAM cost: 1.7271 GB 
 k:72, b:86, f:29 , RAM cost: 1.7270 GB 
 k:75, b:86, f:29 , RAM cost: 1.7311 GB 
 k:78, b:86, f:29 , RAM cost: 1.7310 GB 
 k:81, b:86, f:29 , RAM cost: 1.7314 GB 
 k:84, b:86, f:29 , RAM cost: 1.7314 GB 
 k:87, b:86, f:29 , RAM cost: 1.7312 GB 
 k:90, b:86, f:29 , RAM cost: 1.7316 GB 
 k:93, b:86, f:29 , RAM cost: 1.7317 GB 
 k:96, b:86, f:29 , RAM cost: 1.7317 GB 
 k:99, b:86, f:29 , RAM cost: 1.7315 GB 
 k:102, b:86, f:29 , RAM cost: 1.7317 GB 
 k:105, b:86, f:29 , RAM cost: 1.7314 GB 
 k:108, b:86, f:29 , RAM cost: 1.7317 GB 
 k:111, b:86, f:29 , RAM cost: 1.7318 GB 
 k:114, b:86, f:29 , RAM cost: 1.7316 GB 
 k:117, b:86, f:29 , RAM cost: 1.7317 GB 
 k:120, b:86, f:29 , RAM cost: 1.7318 GB 
 k:123, b:86, f:29 , RAM cost: 1.7317 GB 
 k:126, b:86, f:29 , RAM cost: 1.7319 GB 
 k:129, b:86, f:29 , RAM cost: 1.7318 GB 
 k:132, b:86, f:29 , RAM cost: 1.7320 GB 
 k:135, b:86, f:29 , RAM cost: 1.7319 GB 
 k:138, b:86, f:29 , RAM cost: 1.7318 GB 
 k:141, b:86, f:29 , RAM cost: 1.7320 GB 
 k:144, b:86, f:29 , RAM cost: 1.7320 GB 
 k:147, b:86, f:29 , RAM cost: 1.7318 GB 
 k:150, b:86, f:29 , RAM cost: 1.7320 GB 
 k:153, b:86, f:29 , RAM cost: 1.7319 GB 
