Start Pump Cost Test Experiment, test 2 times for each blocksizes
1. fixed beta = 80, threads = 32, gpus = 2 

Starting a pnjBKZ-80 tour for dim=260. 
Intial Slope = -0.06787
k:0, b:63, f:0  , RAM cost: 1.6586 GB, Pump Cost: 4.0083 s 
k:0, b:64, f:1  , RAM cost: 1.6614 GB, Pump Cost: 2.5206 s 
k:0, b:65, f:2  , RAM cost: 1.6640 GB, Pump Cost: 2.4595 s 
k:0, b:66, f:3  , RAM cost: 1.6681 GB, Pump Cost: 2.4322 s 
k:0, b:67, f:4  , RAM cost: 1.6726 GB, Pump Cost: 2.4466 s 
k:0, b:68, f:5  , RAM cost: 1.6748 GB, Pump Cost: 2.4563 s 
k:0, b:69, f:6  , RAM cost: 1.6749 GB, Pump Cost: 2.4216 s 
k:0, b:70, f:7  , RAM cost: 1.6793 GB, Pump Cost: 2.2040 s 
k:0, b:71, f:8  , RAM cost: 1.6812 GB, Pump Cost: 2.4212 s 
k:0, b:72, f:9  , RAM cost: 1.6833 GB, Pump Cost: 2.4356 s 
k:0, b:73, f:10  , RAM cost: 1.6876 GB, Pump Cost: 2.3998 s 
k:0, b:74, f:11  , RAM cost: 1.6898 GB, Pump Cost: 2.3898 s 
k:0, b:75, f:12  , RAM cost: 1.6937 GB, Pump Cost: 2.3135 s 
k:0, b:76, f:13  , RAM cost: 1.6941 GB, Pump Cost: 1.9307 s 
k:0, b:77, f:14  , RAM cost: 1.6959 GB, Pump Cost: 2.3633 s 
k:0, b:78, f:15  , RAM cost: 1.6960 GB, Pump Cost: 2.3830 s 
k:0, b:79, f:16  , RAM cost: 1.6963 GB, Pump Cost: 2.3482 s 
k:0, b:80, f:17  , RAM cost: 1.6965 GB, Pump Cost: 2.6921 s 
k:0, b:81, f:18  , RAM cost: 1.6964 GB, Pump Cost: 2.7039 s 
k:0, b:82, f:19  , RAM cost: 1.6962 GB, Pump Cost: 2.4959 s 
k:0, b:83, f:20  , RAM cost: 1.6981 GB, Pump Cost: 2.6681 s 
k:0, b:84, f:21  , RAM cost: 1.7003 GB, Pump Cost: 2.7429 s 
k:0, b:85, f:22  , RAM cost: 1.7022 GB, Pump Cost: 2.7486 s 
k:0, b:86, f:23  , RAM cost: 1.7064 GB, Pump Cost: 2.7538 s 
k:0, b:87, f:24  , RAM cost: 1.7090 GB, Pump Cost: 2.8706 s 
k:0, b:88, f:25  , RAM cost: 1.7090 GB, Pump Cost: 2.7623 s 
k:0, b:89, f:26  , RAM cost: 1.7090 GB, Pump Cost: 2.7731 s 
