Start Pump Cost Test Experiment, test 1 times for each blocksizes
1. fixed beta = 110, threads = 32, gpus = 2 

Starting a pnjBKZ-110 tour for dim=220. 
Intial Slope = -0.08116

 k:0, b:91, f:0 , RAM cost: 0.1809 GB 
 k:0, b:92, f:1 , RAM cost: 2.3339 GB 
 k:0, b:93, f:2 , RAM cost: 2.3520 GB 
 k:0, b:94, f:3 , RAM cost: 2.3570 GB 
 k:0, b:95, f:4 , RAM cost: 2.3644 GB 
 k:0, b:96, f:5 , RAM cost: 2.3687 GB 
 k:0, b:97, f:6 , RAM cost: 2.3728 GB 
 k:0, b:98, f:7 , RAM cost: 2.3774 GB 
 k:0, b:99, f:8 , RAM cost: 2.3802 GB 
 k:0, b:100, f:9 , RAM cost: 2.3806 GB 
 k:0, b:101, f:10 , RAM cost: 2.3838 GB 
 k:0, b:102, f:11 , RAM cost: 2.3860 GB 
 k:0, b:103, f:12 , RAM cost: 2.3884 GB 
 k:0, b:104, f:13 , RAM cost: 2.3896 GB 
 k:0, b:105, f:14 , RAM cost: 2.3898 GB 
 k:0, b:106, f:15 , RAM cost: 2.3922 GB 
 k:0, b:107, f:16 , RAM cost: 2.3925 GB 
 k:0, b:108, f:17 , RAM cost: 2.3941 GB 
 k:0, b:109, f:18 , RAM cost: 2.3945 GB 
 k:0, b:110, f:19 , RAM cost: 2.3969 GB 
 k:0, b:111, f:20 , RAM cost: 2.3987 GB 
 k:0, b:112, f:21 , RAM cost: 2.4009 GB 
 k:0, b:113, f:22 , RAM cost: 2.4020 GB 
 k:0, b:114, f:23 , RAM cost: 2.4025 GB 
 k:0, b:115, f:24 , RAM cost: 2.4050 GB 
 k:0, b:116, f:25 , RAM cost: 2.4052 GB 
 k:0, b:117, f:26 , RAM cost: 2.4070 GB 
 k:0, b:118, f:27 , RAM cost: 2.4072 GB 
 k:0, b:119, f:28 , RAM cost: 2.4073 GB 
 k:0, b:120, f:29 , RAM cost: 2.4072 GB 
 k:0, b:121, f:30 , RAM cost: 2.4087 GB 
 k:0, b:122, f:31 , RAM cost: 2.4089 GB 
 k:1, b:122, f:31 , RAM cost: 2.4110 GB 
 k:2, b:122, f:31 , RAM cost: 2.4110 GB 
 k:3, b:122, f:31 , RAM cost: 2.4128 GB 
 k:4, b:122, f:31 , RAM cost: 2.4136 GB 
 k:5, b:122, f:31 , RAM cost: 2.4139 GB 
 k:6, b:122, f:31 , RAM cost: 2.4145 GB 
 k:7, b:122, f:31 , RAM cost: 2.4159 GB 
 k:8, b:122, f:31 , RAM cost: 2.4159 GB 
 k:9, b:122, f:31 , RAM cost: 2.4175 GB 
 k:10, b:122, f:31 , RAM cost: 2.4176 GB 
 k:11, b:122, f:31 , RAM cost: 2.4194 GB 
 k:12, b:122, f:31 , RAM cost: 2.4197 GB 
 k:13, b:122, f:31 , RAM cost: 2.4198 GB 
 k:14, b:122, f:31 , RAM cost: 2.4199 GB 
 k:15, b:122, f:31 , RAM cost: 2.4200 GB 
 k:16, b:122, f:31 , RAM cost: 2.4218 GB 
 k:17, b:122, f:31 , RAM cost: 2.4219 GB 
 k:18, b:122, f:31 , RAM cost: 2.4227 GB 
 k:19, b:122, f:31 , RAM cost: 2.4230 GB 
 k:20, b:122, f:31 , RAM cost: 2.4231 GB 
 k:21, b:122, f:31 , RAM cost: 2.4232 GB 
 k:22, b:122, f:31 , RAM cost: 2.4250 GB 
 k:23, b:122, f:31 , RAM cost: 2.4251 GB 
 k:24, b:122, f:31 , RAM cost: 2.4247 GB 
 k:25, b:122, f:31 , RAM cost: 2.4264 GB 
 k:26, b:122, f:31 , RAM cost: 2.4264 GB 
 k:27, b:122, f:31 , RAM cost: 2.4263 GB 
 k:28, b:122, f:31 , RAM cost: 2.4266 GB 
 k:29, b:122, f:31 , RAM cost: 2.4266 GB 
 k:30, b:122, f:31 , RAM cost: 2.4267 GB 
 k:31, b:122, f:31 , RAM cost: 2.4268 GB 
 k:32, b:122, f:31 , RAM cost: 2.4267 GB 
 k:33, b:122, f:31 , RAM cost: 2.4270 GB 
 k:34, b:122, f:31 , RAM cost: 2.4270 GB 
 k:35, b:122, f:31 , RAM cost: 2.4288 GB 
 k:36, b:122, f:31 , RAM cost: 2.4290 GB 
 k:37, b:122, f:31 , RAM cost: 2.4293 GB 
 k:38, b:122, f:31 , RAM cost: 2.4293 GB 
 k:39, b:122, f:31 , RAM cost: 2.4308 GB 
 k:40, b:122, f:31 , RAM cost: 2.4310 GB 
 k:41, b:122, f:31 , RAM cost: 2.4311 GB 
 k:42, b:122, f:31 , RAM cost: 2.4312 GB 
 k:43, b:122, f:31 , RAM cost: 2.4310 GB 
 k:44, b:122, f:31 , RAM cost: 2.4310 GB 
 k:45, b:122, f:31 , RAM cost: 2.4312 GB 
 k:46, b:122, f:31 , RAM cost: 2.4312 GB 
 k:47, b:122, f:31 , RAM cost: 2.4311 GB 
 k:48, b:122, f:31 , RAM cost: 2.4310 GB 
 k:49, b:122, f:31 , RAM cost: 2.4325 GB 
 k:50, b:122, f:31 , RAM cost: 2.4326 GB 
 k:51, b:122, f:31 , RAM cost: 2.4324 GB 
 k:52, b:122, f:31 , RAM cost: 2.4328 GB 
 k:53, b:122, f:31 , RAM cost: 2.4328 GB 
 k:54, b:122, f:31 , RAM cost: 2.4326 GB 
 k:55, b:122, f:31 , RAM cost: 2.4328 GB 
 k:56, b:122, f:31 , RAM cost: 2.4333 GB 
 k:57, b:122, f:31 , RAM cost: 2.4338 GB 
 k:58, b:122, f:31 , RAM cost: 2.4338 GB 
 k:59, b:122, f:31 , RAM cost: 2.4339 GB 
 k:60, b:122, f:31 , RAM cost: 2.4338 GB 
 k:61, b:122, f:31 , RAM cost: 2.4339 GB 
 k:62, b:122, f:31 , RAM cost: 2.4338 GB 
 k:63, b:122, f:31 , RAM cost: 2.4339 GB 
 k:64, b:122, f:31 , RAM cost: 2.4337 GB 
 k:65, b:122, f:31 , RAM cost: 2.4357 GB 
 k:66, b:122, f:31 , RAM cost: 2.4357 GB 
 k:67, b:122, f:31 , RAM cost: 2.4358 GB 
 k:68, b:122, f:31 , RAM cost: 2.4358 GB 
 k:69, b:122, f:31 , RAM cost: 2.4367 GB 
 k:70, b:122, f:31 , RAM cost: 2.4365 GB 
 k:71, b:122, f:31 , RAM cost: 2.4367 GB 
 k:72, b:122, f:31 , RAM cost: 2.4366 GB 
 k:73, b:122, f:31 , RAM cost: 2.4365 GB 
 k:74, b:122, f:31 , RAM cost: 2.4365 GB 
 k:75, b:122, f:31 , RAM cost: 2.4367 GB 
 k:76, b:122, f:31 , RAM cost: 2.4366 GB 
 k:77, b:122, f:31 , RAM cost: 2.4366 GB 
 k:78, b:122, f:31 , RAM cost: 2.4366 GB 
 k:79, b:122, f:31 , RAM cost: 2.4367 GB 
 k:80, b:122, f:31 , RAM cost: 2.4366 GB 
 k:81, b:122, f:31 , RAM cost: 2.4369 GB 
 k:82, b:122, f:31 , RAM cost: 2.4370 GB 
 k:83, b:122, f:31 , RAM cost: 2.4369 GB 
 k:84, b:122, f:31 , RAM cost: 2.4369 GB 
 k:85, b:122, f:31 , RAM cost: 2.4368 GB 
 k:86, b:122, f:31 , RAM cost: 2.4371 GB 
 k:87, b:122, f:31 , RAM cost: 2.4371 GB 
 k:88, b:122, f:31 , RAM cost: 2.4371 GB 
 k:89, b:122, f:31 , RAM cost: 2.4371 GB 
 k:90, b:122, f:31 , RAM cost: 2.4371 GB 
 k:91, b:122, f:31 , RAM cost: 2.4370 GB 
 k:92, b:122, f:31 , RAM cost: 2.4371 GB 
 k:93, b:122, f:31 , RAM cost: 2.4370 GB 
 k:94, b:122, f:31 , RAM cost: 2.4372 GB 
 k:95, b:122, f:31 , RAM cost: 2.4372 GB 
 k:96, b:122, f:31 , RAM cost: 2.4370 GB 
 k:97, b:122, f:31 , RAM cost: 2.4370 GB 
 k:98, b:122, f:31 , RAM cost: 2.4368 GB 
 k:99, b:121, f:30 , RAM cost: 2.4371 GB 
 k:100, b:120, f:29 , RAM cost: 2.4375 GB 
 k:101, b:119, f:28 , RAM cost: 2.4374 GB 
 k:102, b:118, f:27 , RAM cost: 2.4376 GB 
 k:103, b:117, f:26 , RAM cost: 2.4376 GB 
 k:104, b:116, f:25 , RAM cost: 2.4375 GB 
 k:105, b:115, f:24 , RAM cost: 2.4375 GB 
 k:106, b:114, f:23 , RAM cost: 2.4376 GB 
 k:107, b:113, f:22 , RAM cost: 2.4376 GB 
 k:108, b:112, f:21 , RAM cost: 2.4378 GB 
 k:109, b:111, f:20 , RAM cost: 2.4377 GB 
 k:110, b:110, f:19 , RAM cost: 2.4378 GB 
 k:111, b:109, f:18 , RAM cost: 2.4376 GB 
 k:112, b:108, f:17 , RAM cost: 2.4375 GB 
 k:113, b:107, f:16 , RAM cost: 2.4377 GB 
 k:114, b:106, f:15 , RAM cost: 2.4375 GB 
 k:115, b:105, f:14 , RAM cost: 2.4374 GB 
 k:116, b:104, f:13 , RAM cost: 2.4376 GB 
 k:117, b:103, f:12 , RAM cost: 2.4376 GB 
 k:118, b:102, f:11 , RAM cost: 2.4376 GB 
 k:119, b:101, f:10 , RAM cost: 2.4376 GB 
 k:120, b:100, f:9 , RAM cost: 2.4378 GB 
 k:121, b:99, f:8 , RAM cost: 2.4376 GB 
 k:122, b:98, f:7 , RAM cost: 2.4378 GB 
 k:123, b:97, f:6 , RAM cost: 2.4378 GB 
 k:124, b:96, f:5 , RAM cost: 2.4378 GB 
 k:125, b:95, f:4 , RAM cost: 2.4376 GB 
 k:126, b:94, f:3 , RAM cost: 2.4378 GB 
 k:127, b:93, f:2 , RAM cost: 2.4378 GB 
 k:128, b:92, f:1 , RAM cost: 2.4377 GB 
