Start Pump Cost Test Experiment, test 1 times for each blocksizes
1. fixed beta = 70, threads = 32, gpus = 2 

Starting a pnjBKZ-70 tour for dim=160. 
Intial Slope = -0.09210

 k:0, b:55, f:0 , RAM cost: 0.1800 GB 
 k:0, b:56, f:1 , RAM cost: 1.6679 GB 
 k:0, b:57, f:2 , RAM cost: 1.6734 GB 
 k:0, b:58, f:3 , RAM cost: 1.6759 GB 
 k:0, b:59, f:4 , RAM cost: 1.6801 GB 
 k:0, b:60, f:5 , RAM cost: 1.6842 GB 
 k:0, b:61, f:6 , RAM cost: 1.6882 GB 
 k:0, b:62, f:7 , RAM cost: 1.6926 GB 
 k:0, b:63, f:8 , RAM cost: 1.6969 GB 
 k:0, b:64, f:9 , RAM cost: 1.6991 GB 
 k:0, b:65, f:10 , RAM cost: 1.7009 GB 
 k:0, b:66, f:11 , RAM cost: 1.7050 GB 
 k:0, b:67, f:12 , RAM cost: 1.7054 GB 
 k:0, b:68, f:13 , RAM cost: 1.7075 GB 
 k:0, b:69, f:14 , RAM cost: 1.7072 GB 
 k:0, b:70, f:15 , RAM cost: 1.7094 GB 
 k:0, b:71, f:16 , RAM cost: 1.7093 GB 
 k:0, b:72, f:17 , RAM cost: 1.7095 GB 
 k:0, b:73, f:18 , RAM cost: 1.7114 GB 
 k:0, b:74, f:19 , RAM cost: 1.7135 GB 
 k:0, b:75, f:20 , RAM cost: 1.7136 GB 
 k:0, b:76, f:21 , RAM cost: 1.7177 GB 
 k:0, b:77, f:22 , RAM cost: 1.7177 GB 
 k:0, b:78, f:23 , RAM cost: 1.7181 GB 
 k:0, b:79, f:24 , RAM cost: 1.7180 GB 
 k:0, b:80, f:25 , RAM cost: 1.7202 GB 
 k:0, b:81, f:26 , RAM cost: 1.7221 GB 
 k:0, b:82, f:27 , RAM cost: 1.7220 GB 
 k:1, b:82, f:27 , RAM cost: 1.7242 GB 
 k:2, b:82, f:27 , RAM cost: 1.7241 GB 
 k:3, b:82, f:27 , RAM cost: 1.7242 GB 
 k:4, b:82, f:27 , RAM cost: 1.7242 GB 
 k:5, b:82, f:27 , RAM cost: 1.7263 GB 
 k:6, b:82, f:27 , RAM cost: 1.7267 GB 
 k:7, b:82, f:27 , RAM cost: 1.7265 GB 
 k:8, b:82, f:27 , RAM cost: 1.7267 GB 
 k:9, b:82, f:27 , RAM cost: 1.7265 GB 
 k:10, b:82, f:27 , RAM cost: 1.7264 GB 
 k:11, b:82, f:27 , RAM cost: 1.7287 GB 
 k:12, b:82, f:27 , RAM cost: 1.7285 GB 
 k:13, b:82, f:27 , RAM cost: 1.7285 GB 
 k:14, b:82, f:27 , RAM cost: 1.7286 GB 
 k:15, b:82, f:27 , RAM cost: 1.7286 GB 
 k:16, b:82, f:27 , RAM cost: 1.7287 GB 
 k:17, b:82, f:27 , RAM cost: 1.7287 GB 
 k:18, b:82, f:27 , RAM cost: 1.7286 GB 
 k:19, b:82, f:27 , RAM cost: 1.7289 GB 
 k:20, b:82, f:27 , RAM cost: 1.7289 GB 
 k:21, b:82, f:27 , RAM cost: 1.7287 GB 
 k:22, b:82, f:27 , RAM cost: 1.7286 GB 
 k:23, b:82, f:27 , RAM cost: 1.7287 GB 
 k:24, b:82, f:27 , RAM cost: 1.7287 GB 
 k:25, b:82, f:27 , RAM cost: 1.7287 GB 
 k:26, b:82, f:27 , RAM cost: 1.7287 GB 
 k:27, b:82, f:27 , RAM cost: 1.7287 GB 
 k:28, b:82, f:27 , RAM cost: 1.7289 GB 
 k:29, b:82, f:27 , RAM cost: 1.7289 GB 
 k:30, b:82, f:27 , RAM cost: 1.7290 GB 
 k:31, b:82, f:27 , RAM cost: 1.7291 GB 
 k:32, b:82, f:27 , RAM cost: 1.7289 GB 
 k:33, b:82, f:27 , RAM cost: 1.7289 GB 
 k:34, b:82, f:27 , RAM cost: 1.7289 GB 
 k:35, b:82, f:27 , RAM cost: 1.7288 GB 
 k:36, b:82, f:27 , RAM cost: 1.7292 GB 
 k:37, b:82, f:27 , RAM cost: 1.7292 GB 
 k:38, b:82, f:27 , RAM cost: 1.7292 GB 
 k:39, b:82, f:27 , RAM cost: 1.7289 GB 
 k:40, b:82, f:27 , RAM cost: 1.7290 GB 
 k:41, b:82, f:27 , RAM cost: 1.7289 GB 
 k:42, b:82, f:27 , RAM cost: 1.7289 GB 
 k:43, b:82, f:27 , RAM cost: 1.7289 GB 
 k:44, b:82, f:27 , RAM cost: 1.7289 GB 
 k:45, b:82, f:27 , RAM cost: 1.7290 GB 
 k:46, b:82, f:27 , RAM cost: 1.7292 GB 
 k:47, b:82, f:27 , RAM cost: 1.7290 GB 
 k:48, b:82, f:27 , RAM cost: 1.7290 GB 
 k:49, b:82, f:27 , RAM cost: 1.7290 GB 
 k:50, b:82, f:27 , RAM cost: 1.7290 GB 
 k:51, b:82, f:27 , RAM cost: 1.7290 GB 
 k:52, b:82, f:27 , RAM cost: 1.7290 GB 
 k:53, b:82, f:27 , RAM cost: 1.7290 GB 
 k:54, b:82, f:27 , RAM cost: 1.7290 GB 
 k:55, b:82, f:27 , RAM cost: 1.7290 GB 
 k:56, b:82, f:27 , RAM cost: 1.7290 GB 
 k:57, b:82, f:27 , RAM cost: 1.7293 GB 
 k:58, b:82, f:27 , RAM cost: 1.7294 GB 
 k:59, b:82, f:27 , RAM cost: 1.7292 GB 
 k:60, b:82, f:27 , RAM cost: 1.7290 GB 
 k:61, b:82, f:27 , RAM cost: 1.7292 GB 
 k:62, b:82, f:27 , RAM cost: 1.7291 GB 
 k:63, b:82, f:27 , RAM cost: 1.7290 GB 
 k:64, b:82, f:27 , RAM cost: 1.7291 GB 
 k:65, b:82, f:27 , RAM cost: 1.7294 GB 
 k:66, b:82, f:27 , RAM cost: 1.7292 GB 
 k:67, b:82, f:27 , RAM cost: 1.7294 GB 
 k:68, b:82, f:27 , RAM cost: 1.7294 GB 
 k:69, b:82, f:27 , RAM cost: 1.7292 GB 
 k:70, b:82, f:27 , RAM cost: 1.7291 GB 
 k:71, b:82, f:27 , RAM cost: 1.7292 GB 
 k:72, b:82, f:27 , RAM cost: 1.7292 GB 
 k:73, b:82, f:27 , RAM cost: 1.7295 GB 
 k:74, b:82, f:27 , RAM cost: 1.7291 GB 
 k:75, b:82, f:27 , RAM cost: 1.7293 GB 
 k:76, b:82, f:27 , RAM cost: 1.7294 GB 
 k:77, b:82, f:27 , RAM cost: 1.7295 GB 
 k:78, b:82, f:27 , RAM cost: 1.7293 GB 
 k:79, b:81, f:26 , RAM cost: 1.7293 GB 
 k:80, b:80, f:25 , RAM cost: 1.7292 GB 
 k:81, b:79, f:24 , RAM cost: 1.7292 GB 
 k:82, b:78, f:23 , RAM cost: 1.7291 GB 
 k:83, b:77, f:22 , RAM cost: 1.7292 GB 
 k:84, b:76, f:21 , RAM cost: 1.7292 GB 
 k:85, b:75, f:20 , RAM cost: 1.7292 GB 
 k:86, b:74, f:19 , RAM cost: 1.7292 GB 
 k:87, b:73, f:18 , RAM cost: 1.7296 GB 
 k:88, b:72, f:17 , RAM cost: 1.7294 GB 
 k:89, b:71, f:16 , RAM cost: 1.7295 GB 
 k:90, b:70, f:15 , RAM cost: 1.7292 GB 
 k:91, b:69, f:14 , RAM cost: 1.7294 GB 
 k:92, b:68, f:13 , RAM cost: 1.7293 GB 
 k:93, b:67, f:12 , RAM cost: 1.7293 GB 
 k:94, b:66, f:11 , RAM cost: 1.7293 GB 
 k:95, b:65, f:10 , RAM cost: 1.7293 GB 
 k:96, b:64, f:9 , RAM cost: 1.7293 GB 
 k:97, b:63, f:8 , RAM cost: 1.7296 GB 
 k:98, b:62, f:7 , RAM cost: 1.7296 GB 
 k:99, b:61, f:6 , RAM cost: 1.7294 GB 
 k:100, b:60, f:5 , RAM cost: 1.7293 GB 
 k:101, b:59, f:4 , RAM cost: 1.7293 GB 
 k:102, b:58, f:3 , RAM cost: 1.7293 GB 
 k:103, b:57, f:2 , RAM cost: 1.7293 GB 
 k:104, b:56, f:1 , RAM cost: 1.7293 GB 
