Start Pump Cost Test Experiment, test 1 times for each blocksizes
1. fixed beta = 90, threads = 32, gpus = 2 

Starting a pnjBKZ-90 tour for dim=160. 
Intial Slope = -0.09210

 k:0, b:72, f:0 , RAM cost: 0.1793 GB 
 k:0, b:73, f:1 , RAM cost: 1.7444 GB 
 k:0, b:74, f:2 , RAM cost: 1.7476 GB 
 k:0, b:75, f:3 , RAM cost: 1.7507 GB 
 k:0, b:76, f:4 , RAM cost: 1.7534 GB 
 k:0, b:77, f:5 , RAM cost: 1.7555 GB 
 k:0, b:78, f:6 , RAM cost: 1.7559 GB 
 k:0, b:79, f:7 , RAM cost: 1.7577 GB 
 k:0, b:80, f:8 , RAM cost: 1.7607 GB 
 k:0, b:81, f:9 , RAM cost: 1.7630 GB 
 k:0, b:82, f:10 , RAM cost: 1.7651 GB 
 k:0, b:83, f:11 , RAM cost: 1.7670 GB 
 k:0, b:84, f:12 , RAM cost: 1.7694 GB 
 k:0, b:85, f:13 , RAM cost: 1.7714 GB 
 k:0, b:86, f:14 , RAM cost: 1.7734 GB 
 k:0, b:87, f:15 , RAM cost: 1.7734 GB 
 k:0, b:88, f:16 , RAM cost: 1.7739 GB 
 k:0, b:89, f:17 , RAM cost: 1.7740 GB 
 k:0, b:90, f:18 , RAM cost: 1.7741 GB 
 k:0, b:91, f:19 , RAM cost: 1.7741 GB 
 k:0, b:92, f:20 , RAM cost: 1.7761 GB 
 k:0, b:93, f:21 , RAM cost: 1.7761 GB 
 k:0, b:94, f:22 , RAM cost: 1.7767 GB 
 k:0, b:95, f:23 , RAM cost: 1.7770 GB 
 k:0, b:96, f:24 , RAM cost: 1.7784 GB 
 k:0, b:97, f:25 , RAM cost: 1.7802 GB 
 k:0, b:98, f:26 , RAM cost: 1.7818 GB 
 k:0, b:99, f:27 , RAM cost: 1.7820 GB 
 k:0, b:100, f:28 , RAM cost: 1.7837 GB 
 k:0, b:101, f:29 , RAM cost: 1.7834 GB 
 k:0, b:102, f:30 , RAM cost: 1.7834 GB 
 k:1, b:102, f:30 , RAM cost: 1.7838 GB 
 k:2, b:102, f:30 , RAM cost: 1.7837 GB 
 k:3, b:102, f:30 , RAM cost: 1.7835 GB 
 k:4, b:102, f:30 , RAM cost: 1.7853 GB 
 k:5, b:102, f:30 , RAM cost: 1.7852 GB 
 k:6, b:102, f:30 , RAM cost: 1.7854 GB 
 k:7, b:102, f:30 , RAM cost: 1.7869 GB 
 k:8, b:102, f:30 , RAM cost: 1.7871 GB 
 k:9, b:102, f:30 , RAM cost: 1.7889 GB 
 k:10, b:102, f:30 , RAM cost: 1.7889 GB 
 k:11, b:102, f:30 , RAM cost: 1.7887 GB 
 k:12, b:102, f:30 , RAM cost: 1.7904 GB 
 k:13, b:102, f:30 , RAM cost: 1.7905 GB 
 k:14, b:102, f:30 , RAM cost: 1.7906 GB 
 k:15, b:102, f:30 , RAM cost: 1.7923 GB 
 k:16, b:102, f:30 , RAM cost: 1.7921 GB 
 k:17, b:102, f:30 , RAM cost: 1.7922 GB 
 k:18, b:102, f:30 , RAM cost: 1.7922 GB 
 k:19, b:102, f:30 , RAM cost: 1.7922 GB 
 k:20, b:102, f:30 , RAM cost: 1.7924 GB 
 k:21, b:102, f:30 , RAM cost: 1.7921 GB 
 k:22, b:102, f:30 , RAM cost: 1.7939 GB 
 k:23, b:102, f:30 , RAM cost: 1.7938 GB 
 k:24, b:102, f:30 , RAM cost: 1.7957 GB 
 k:25, b:102, f:30 , RAM cost: 1.7957 GB 
 k:26, b:102, f:30 , RAM cost: 1.7957 GB 
 k:27, b:102, f:30 , RAM cost: 1.7973 GB 
 k:28, b:102, f:30 , RAM cost: 1.7991 GB 
 k:29, b:102, f:30 , RAM cost: 1.7990 GB 
 k:30, b:102, f:30 , RAM cost: 1.7990 GB 
 k:31, b:102, f:30 , RAM cost: 1.7992 GB 
 k:32, b:102, f:30 , RAM cost: 1.7992 GB 
 k:33, b:102, f:30 , RAM cost: 1.7989 GB 
 k:34, b:102, f:30 , RAM cost: 1.8009 GB 
 k:35, b:102, f:30 , RAM cost: 1.8009 GB 
 k:36, b:102, f:30 , RAM cost: 1.8007 GB 
 k:37, b:102, f:30 , RAM cost: 1.8009 GB 
 k:38, b:102, f:30 , RAM cost: 1.8007 GB 
 k:39, b:102, f:30 , RAM cost: 1.8007 GB 
 k:40, b:102, f:30 , RAM cost: 1.8008 GB 
 k:41, b:102, f:30 , RAM cost: 1.8007 GB 
 k:42, b:102, f:30 , RAM cost: 1.8009 GB 
 k:43, b:102, f:30 , RAM cost: 1.8008 GB 
 k:44, b:102, f:30 , RAM cost: 1.8023 GB 
 k:45, b:102, f:30 , RAM cost: 1.8026 GB 
 k:46, b:102, f:30 , RAM cost: 1.8025 GB 
 k:47, b:102, f:30 , RAM cost: 1.8041 GB 
 k:48, b:102, f:30 , RAM cost: 1.8042 GB 
 k:49, b:102, f:30 , RAM cost: 1.8041 GB 
 k:50, b:102, f:30 , RAM cost: 1.8042 GB 
 k:51, b:102, f:30 , RAM cost: 1.8042 GB 
 k:52, b:102, f:30 , RAM cost: 1.8040 GB 
 k:53, b:102, f:30 , RAM cost: 1.8040 GB 
 k:54, b:102, f:30 , RAM cost: 1.8041 GB 
 k:55, b:102, f:30 , RAM cost: 1.8041 GB 
 k:56, b:102, f:30 , RAM cost: 1.8041 GB 
 k:57, b:102, f:30 , RAM cost: 1.8039 GB 
 k:58, b:102, f:30 , RAM cost: 1.8043 GB 
 k:59, b:101, f:29 , RAM cost: 1.8043 GB 
 k:60, b:100, f:28 , RAM cost: 1.8041 GB 
 k:61, b:99, f:27 , RAM cost: 1.8043 GB 
 k:62, b:98, f:26 , RAM cost: 1.8043 GB 
 k:63, b:97, f:25 , RAM cost: 1.8043 GB 
 k:64, b:96, f:24 , RAM cost: 1.8042 GB 
 k:65, b:95, f:23 , RAM cost: 1.8043 GB 
 k:66, b:94, f:22 , RAM cost: 1.8043 GB 
 k:67, b:93, f:21 , RAM cost: 1.8042 GB 
 k:68, b:92, f:20 , RAM cost: 1.8043 GB 
 k:69, b:91, f:19 , RAM cost: 1.8044 GB 
 k:70, b:90, f:18 , RAM cost: 1.8042 GB 
 k:71, b:89, f:17 , RAM cost: 1.8043 GB 
 k:72, b:88, f:16 , RAM cost: 1.8043 GB 
 k:73, b:87, f:15 , RAM cost: 1.8042 GB 
 k:74, b:86, f:14 , RAM cost: 1.8044 GB 
 k:75, b:85, f:13 , RAM cost: 1.8043 GB 
 k:76, b:84, f:12 , RAM cost: 1.8041 GB 
 k:77, b:83, f:11 , RAM cost: 1.8042 GB 
 k:78, b:82, f:10 , RAM cost: 1.8042 GB 
 k:79, b:81, f:9 , RAM cost: 1.8043 GB 
 k:80, b:80, f:8 , RAM cost: 1.8043 GB 
 k:81, b:79, f:7 , RAM cost: 1.8042 GB 
 k:82, b:78, f:6 , RAM cost: 1.8044 GB 
 k:83, b:77, f:5 , RAM cost: 1.8042 GB 
 k:84, b:76, f:4 , RAM cost: 1.8041 GB 
 k:85, b:75, f:3 , RAM cost: 1.8045 GB 
 k:86, b:74, f:2 , RAM cost: 1.8058 GB 
 k:87, b:73, f:1 , RAM cost: 1.8060 GB 
 k:88, b:72, f:0  , RAM cost: 1.8060 GB  
[18.38061833381653, 13.72328519821167, 12.81920599937439, 12.890251874923706, 13.121642112731934, 12.995619297027588, 12.759781122207642, 12.844769716262817, 13.463742017745972, 13.553867101669312, 13.657663106918335, 13.66067361831665, 14.742682456970215, 15.140352964401245, 15.114651203155518, 16.133126497268677, 16.11883807182312, 15.33659815788269, 15.75591492652893, 15.574870109558105, 16.26608395576477, 16.546834468841553, 17.034509420394897, 16.786190032958984, 18.369581699371338, 18.07456135749817, 17.350445985794067, 17.991780281066895, 18.662304878234863, 18.546191453933716, 20.77291464805603, 19.403139114379883, 20.221920490264893, 21.213841199874878, 20.57291340827942, 20.618613243103027, 20.56805944442749, 21.197546243667603, 21.404982089996338, 20.0162136554718, 21.25658679008484, 20.577824592590332, 21.05556869506836, 21.22362971305847, 20.8867244720459, 23.424460887908936, 23.058268070220947, 22.99334716796875, 23.235804319381714, 24.565210103988647, 24.405739545822144, 23.512115955352783, 22.97559428215027, 23.61228632926941, 25.36302661895752, 26.171483993530273, 25.64542531967163, 26.46139883995056, 25.91831612586975, 25.260060787200928, 25.121135234832764, 26.18285608291626, 24.619897842407227, 26.119041442871094, 28.01008915901184, 26.130759239196777, 27.750281810760498, 27.184906244277954, 26.852256536483765, 25.50596332550049, 26.845175743103027, 27.875264167785645, 29.18759059906006, 28.503362894058228, 28.583131551742554, 28.069798231124878, 28.865790367126465, 28.8111674785614, 27.409348011016846, 28.09166717529297, 28.9647114276886, 29.57981777191162, 30.3977689743042, 29.88077449798584, 31.09188723564148, 30.572762727737427, 31.925933837890625, 32.7275824546814, 35.881187200546265, 30.578105926513672, 30.97185754776001, 31.37185049057007, 30.179486513137817, 31.382086277008057, 28.76587224006653, 30.403909921646118, 30.567970752716064, 28.991779804229736, 28.681578397750854, 27.599799156188965, 28.23402762413025, 29.90324592590332, 29.32987141609192, 25.708871603012085, 27.332066774368286, 27.607903480529785, 27.475947618484497, 25.334007024765015, 26.33190417289734, 26.42339277267456, 24.264436721801758, 22.301207065582275, 15.557941436767578, 16.80662989616394, 12.906549453735352, 11.91548776626587, 8.601483821868896, 8.878039836883545, 18.26198148727417]
slope: -0.04542, walltime: 2757.949 sec

Starting a pnjBKZ-90 tour for dim=170. 
Intial Slope = -0.08944

 k:0, b:72, f:0 , RAM cost: 1.8635 GB 
 k:0, b:73, f:1 , RAM cost: 1.8788 GB 
 k:0, b:74, f:2 , RAM cost: 1.8813 GB 
 k:0, b:75, f:3 , RAM cost: 1.8815 GB 
 k:0, b:76, f:4 , RAM cost: 1.8836 GB 
 k:0, b:77, f:5 , RAM cost: 1.8838 GB 
 k:0, b:78, f:6 , RAM cost: 1.8841 GB 
 k:0, b:79, f:7 , RAM cost: 1.8841 GB 
 k:0, b:80, f:8 , RAM cost: 1.8841 GB 
 k:0, b:81, f:9 , RAM cost: 1.8842 GB 
 k:0, b:82, f:10 , RAM cost: 1.8842 GB 
 k:0, b:83, f:11 , RAM cost: 1.8859 GB 
 k:0, b:84, f:12 , RAM cost: 1.8859 GB 
 k:0, b:85, f:13 , RAM cost: 1.8863 GB 
 k:0, b:86, f:14 , RAM cost: 1.8861 GB 
 k:0, b:87, f:15 , RAM cost: 1.8861 GB 
 k:0, b:88, f:16 , RAM cost: 1.8866 GB 
 k:0, b:89, f:17 , RAM cost: 1.8866 GB 
 k:0, b:90, f:18 , RAM cost: 1.8865 GB 
 k:0, b:91, f:19 , RAM cost: 1.8865 GB 
 k:0, b:92, f:20 , RAM cost: 1.8865 GB 
 k:0, b:93, f:21 , RAM cost: 1.8863 GB 
 k:0, b:94, f:22 , RAM cost: 1.8865 GB 
 k:0, b:95, f:23 , RAM cost: 1.8867 GB 
 k:0, b:96, f:24 , RAM cost: 1.8865 GB 
 k:0, b:97, f:25 , RAM cost: 1.8863 GB 
 k:0, b:98, f:26 , RAM cost: 1.8867 GB 
 k:0, b:99, f:27 , RAM cost: 1.8866 GB 
 k:0, b:100, f:28 , RAM cost: 1.8866 GB 
 k:0, b:101, f:29 , RAM cost: 1.8864 GB 
 k:0, b:102, f:30 , RAM cost: 1.8868 GB 
 k:1, b:102, f:30 , RAM cost: 1.8866 GB 
 k:2, b:102, f:30 , RAM cost: 1.8867 GB 
 k:3, b:102, f:30 , RAM cost: 1.8866 GB 
 k:4, b:102, f:30 , RAM cost: 1.8865 GB 
 k:5, b:102, f:30 , RAM cost: 1.8868 GB 
 k:6, b:102, f:30 , RAM cost: 1.8868 GB 
 k:7, b:102, f:30 , RAM cost: 1.8868 GB 
 k:8, b:102, f:30 , RAM cost: 1.8865 GB 
 k:9, b:102, f:30 , RAM cost: 1.8868 GB 
 k:10, b:102, f:30 , RAM cost: 1.8868 GB 
 k:11, b:102, f:30 , RAM cost: 1.8867 GB 
 k:12, b:102, f:30 , RAM cost: 1.8868 GB 
 k:13, b:102, f:30 , RAM cost: 1.8866 GB 
 k:14, b:102, f:30 , RAM cost: 1.8867 GB 
 k:15, b:102, f:30 , RAM cost: 1.8866 GB 
 k:16, b:102, f:30 , RAM cost: 1.8868 GB 
 k:17, b:102, f:30 , RAM cost: 1.8868 GB 
 k:18, b:102, f:30 , RAM cost: 1.8864 GB 
 k:19, b:102, f:30 , RAM cost: 1.8867 GB 
 k:20, b:102, f:30 , RAM cost: 1.8868 GB 
 k:21, b:102, f:30 , RAM cost: 1.8868 GB 
 k:22, b:102, f:30 , RAM cost: 1.8867 GB 
 k:23, b:102, f:30 , RAM cost: 1.8867 GB 
 k:24, b:102, f:30 , RAM cost: 1.8867 GB 
 k:25, b:102, f:30 , RAM cost: 1.8869 GB 
 k:26, b:102, f:30 , RAM cost: 1.8867 GB 
 k:27, b:102, f:30 , RAM cost: 1.8869 GB 
 k:28, b:102, f:30 , RAM cost: 1.8867 GB 
 k:29, b:102, f:30 , RAM cost: 1.8866 GB 
 k:30, b:102, f:30 , RAM cost: 1.8869 GB 
 k:31, b:102, f:30 , RAM cost: 1.8885 GB 
