-------------------------
Primal attack, LWE challenge n=80, alpha=0.0050
Chose 270 samples. Predict solution at bkz-100 + svp-132

GSO precision:  qd
Intial Slope = -0.03884

Without otf, would expect solution at pump-120, estimate time cost = 3031.256 s 
Starting svp pump_{129, 142, 22}, n_max = 120

 120: ↑ 51   , RAM cost:1.7853 GB    
 120: ↑ 52   , RAM cost:1.7853 GB    
 120: ↑ 53   , RAM cost:1.7853 GB    
 120: ↑ 54   , RAM cost:1.7853 GB    
 120: ↑ 55   , RAM cost:1.7853 GB    
 120: ↑ 56   , RAM cost:1.7853 GB    
 120: ↑ 57   , RAM cost:1.7853 GB    
 120: ↑ 58   , RAM cost:1.7857 GB    
 120: ↑ 59   , RAM cost:1.7865 GB    
 120: ↑ 60   , RAM cost:1.7873 GB    
 120: ↑ 61   , RAM cost:1.7880 GB    
 120: ↑ 62   , RAM cost:1.7890 GB    
 120: ↑ 63   , RAM cost:1.7903 GB    
 120: ↑ 64   , RAM cost:1.7915 GB    
 120: ↑ 65   , RAM cost:1.9236 GB    
 120: ↑ 66   , RAM cost:1.9253 GB    
 120: ↑ 67   , RAM cost:1.9273 GB    
 120: ↑ 68   , RAM cost:1.9296 GB    
 120: ↑ 69   , RAM cost:1.9324 GB    
 120: ↑ 70   , RAM cost:1.9354 GB    
 120: ↑ 71   , RAM cost:1.9392 GB    
 120: ↑ 72   , RAM cost:1.9912 GB    
 120: ↑ 73   , RAM cost:1.9972 GB    
 120: ↑ 74   , RAM cost:2.0030 GB    
 120: ↑ 75   , RAM cost:2.0103 GB    
 120: ↑ 76   , RAM cost:2.0178 GB    
 120: ↑ 77   , RAM cost:2.0266 GB    
 120: ↑ 78   , RAM cost:2.0375 GB    
 120: ↑ 79   , RAM cost:2.0518 GB    
 120: ↑ 80   , RAM cost:2.0664 GB    
 120: ↑ 81   , RAM cost:2.0828 GB    
 120: ↑ 82   , RAM cost:2.1017 GB    
 120: ↑ 83   , RAM cost:2.1241 GB    
 120: ↑ 84   , RAM cost:2.1493 GB    
 120: ↑ 85   , RAM cost:2.1936 GB    
 120: ↑ 86   , RAM cost:2.2396 GB    
 120: ↑ 87   , RAM cost:2.2790 GB    
 120: ↑ 88   , RAM cost:2.3323 GB    
 120: ↑ 89   , RAM cost:2.3826 GB    
 120: ↑ 90   , RAM cost:2.4459 GB    
 120: ↑ 91   , RAM cost:2.5216 GB    
 120: ↑ 92   , RAM cost:2.5983 GB    
 120: ↑ 93   , RAM cost:2.6905 GB    
 120: ↑ 94   , RAM cost:2.7965 GB    
 120: ↑ 95   , RAM cost:2.9422 GB    
 120: ↑ 96   , RAM cost:3.0788 GB    
 120: ↑ 97   , RAM cost:3.3618 GB    
 120: ↑ 98   , RAM cost:3.5665 GB    
 120: ↑ 99   , RAM cost:3.7928 GB    
 120: ↑100   , RAM cost:4.0442 GB    
 120: ↑101   , RAM cost:4.3261 GB    
 120: ↑102   , RAM cost:4.6449 GB    
 120: ↑102   , RAM cost:5.0954 GB    
 120: ↑103   , RAM cost:5.1244 GB    
