Test6. Start Pump Simulator Test 

Intial Slope = -0.08682
Starting svp pump_{130, 50, 5}

  45: ↑ 45   , RAM cost:1.7496 GB    
  45: ↑ 45 ↓ 44 , RAM cost:1.7496 GB   
  45: ↑ 45 ↓ 43 , RAM cost:1.7496 GB   
  45: ↑ 45 ↓ 42 , RAM cost:1.7498 GB   
  45: ↑ 45 ↓ 41 , RAM cost:1.7498 GB   
  45: ↑ 45 ↓ 40 , RAM cost:1.7505 GB   
  45: ↑ 45 ↓ 39 , RAM cost:1.7505 GB   
  45: ↑ 45 ↓ 38 , RAM cost:1.7505 GB   
  45: ↑ 45 ↓ 37 , RAM cost:1.7506 GB   
  45: ↑ 45 ↓ 36 , RAM cost:1.7506 GB   
  45: ↑ 45 ↓ 35 , RAM cost:1.7506 GB   
  45: ↑ 45 ↓ 34 , RAM cost:1.7507 GB   
  45: ↑ 45 ↓ 33 , RAM cost:1.7508 GB   
  45: ↑ 45 ↓ 32 , RAM cost:1.6285 GB   
  45: ↑ 45 ↓ 31 , RAM cost:1.6285 GB   
  45: ↑ 45 ↓ 30 , RAM cost:1.6285 GB   
  45: ↑ 45 ↓ 29 , RAM cost:1.6285 GB   
  45: ↑ 45 ↓ 28 , RAM cost:1.6285 GB   
  45: ↑ 45 ↓ 27 , RAM cost:1.6285 GB   
  45: ↑ 45 ↓ 26 , RAM cost:1.6287 GB   
  45: ↑ 45 ↓ 25 , RAM cost:1.6287 GB   
  45: ↑ 45 ↓ 24 , RAM cost:1.6287 GB   
  45: ↑ 45 ↓ 23 , RAM cost:1.6287 GB   
  45: ↑ 45 ↓ 22 , RAM cost:1.6287 GB   
  45: ↑ 45 ↓ 21 , RAM cost:1.6287 GB   
  45: ↑ 45 ↓ 20 , RAM cost:1.6287 GB   
  45: ↑ 45 ↓ 19 , RAM cost:1.6287 GB   
  45: ↑ 45 ↓ 18 , RAM cost:1.6287 GB   
  45: ↑ 45 ↓ 17 , RAM cost:1.6287 GB   
  45: ↑ 45 ↓ 16 , RAM cost:1.6287 GB   
  45: ↑ 45 ↓ 15 , RAM cost:1.6287 GB   
  45: ↑ 45 ↓ 14 , RAM cost:1.6287 GB   
  45: ↑ 45 ↓ 13 , RAM cost:1.6287 GB   
  45: ↑ 45 ↓ 12 , RAM cost:1.6287 GB   
  45: ↑ 45 ↓ 11 , RAM cost:1.6287 GB   
  45: ↑ 45 ↓ 10 , RAM cost:1.6287 GB   
  45: ↑ 45 ↓  9 , RAM cost:1.6287 GB   
  45: ↑ 45 ↓  8 , RAM cost:1.6287 GB   
  45: ↑ 45 ↓  7 , RAM cost:1.6287 GB   
  45: ↑ 45 ↓  6 , RAM cost:1.6287 GB   
  45: ↑ 45 ↓  5 , RAM cost:1.6287 GB   
  45: ↑ 45 ↓  4 , RAM cost:1.6287 GB   
  45: ↑ 45 ↓  3 , RAM cost:1.6287 GB   slope: -0.08636, walltime: 13.667 sec, max_RAM_cost: 1.751 GB

Intial Slope = -0.08892
Starting svp pump_{130, 50, 5}

  45: ↑ 45   , RAM cost:1.7663 GB    
  45: ↑ 45 ↓ 44 , RAM cost:1.7663 GB   
  45: ↑ 45 ↓ 43 , RAM cost:1.7663 GB   
  45: ↑ 45 ↓ 42 , RAM cost:1.7663 GB   
  45: ↑ 45 ↓ 41 , RAM cost:1.7663 GB   
  45: ↑ 45 ↓ 40 , RAM cost:1.7663 GB   
  45: ↑ 45 ↓ 39 , RAM cost:1.7663 GB   
  45: ↑ 45 ↓ 38 , RAM cost:1.7663 GB   
  45: ↑ 45 ↓ 37 , RAM cost:1.7663 GB   
  45: ↑ 45 ↓ 36 , RAM cost:1.7663 GB   
  45: ↑ 45 ↓ 35 , RAM cost:1.7663 GB   
  45: ↑ 45 ↓ 34 , RAM cost:1.7663 GB   
  45: ↑ 45 ↓ 33 , RAM cost:1.7663 GB   
  45: ↑ 45 ↓ 32 , RAM cost:1.6361 GB   
  45: ↑ 45 ↓ 31 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓ 30 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓ 29 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓ 28 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓ 27 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓ 26 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓ 25 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓ 24 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓ 23 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓ 22 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓ 21 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓ 20 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓ 19 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓ 18 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓ 17 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓ 16 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓ 15 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓ 14 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓ 13 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓ 12 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓ 11 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓ 10 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓  9 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓  8 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓  7 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓  6 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓  5 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓  4 , RAM cost:1.6363 GB   
  45: ↑ 45 ↓  3 , RAM cost:1.6363 GB   slope: -0.08840, walltime: 13.302 sec, max_RAM_cost: 1.766 GB

Intial Slope = -0.08832
Starting svp pump_{125, 55, 7}

  48: ↑ 48   , RAM cost:1.7764 GB    
  48: ↑ 48 ↓ 47 , RAM cost:1.7764 GB   
  48: ↑ 48 ↓ 46 , RAM cost:1.7764 GB   
  48: ↑ 48 ↓ 45 , RAM cost:1.7764 GB   
  48: ↑ 48 ↓ 44 , RAM cost:1.7764 GB   
  48: ↑ 48 ↓ 43 , RAM cost:1.7764 GB   
  48: ↑ 48 ↓ 42 , RAM cost:1.7764 GB   
  48: ↑ 48 ↓ 41 , RAM cost:1.7764 GB   
  48: ↑ 48 ↓ 40 , RAM cost:1.7764 GB   
  48: ↑ 48 ↓ 39 , RAM cost:1.7764 GB   
  48: ↑ 48 ↓ 38 , RAM cost:1.7764 GB   
  48: ↑ 48 ↓ 37 , RAM cost:1.7764 GB   
  48: ↑ 48 ↓ 36 , RAM cost:1.7764 GB   
  48: ↑ 48 ↓ 35 , RAM cost:1.7764 GB   
  48: ↑ 48 ↓ 34 , RAM cost:1.7764 GB   
  48: ↑ 48 ↓ 33 , RAM cost:1.7764 GB   
  48: ↑ 48 ↓ 32 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓ 31 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓ 30 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓ 29 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓ 28 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓ 27 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓ 26 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓ 25 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓ 24 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓ 23 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓ 22 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓ 21 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓ 20 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓ 19 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓ 18 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓ 17 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓ 16 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓ 15 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓ 14 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓ 13 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓ 12 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓ 11 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓ 10 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓  9 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓  8 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓  7 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓  6 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓  5 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓  4 , RAM cost:1.6442 GB   
  48: ↑ 48 ↓  3 , RAM cost:1.6442 GB   slope: -0.08768, walltime: 14.622 sec, max_RAM_cost: 1.776 GB

Intial Slope = -0.08400
Starting svp pump_{125, 55, 7}

  48: ↑ 48   , RAM cost:1.7790 GB    
  48: ↑ 48 ↓ 47 , RAM cost:1.7790 GB   
  48: ↑ 48 ↓ 46 , RAM cost:1.7790 GB   
  48: ↑ 48 ↓ 45 , RAM cost:1.7790 GB   
  48: ↑ 48 ↓ 44 , RAM cost:1.7790 GB   
  48: ↑ 48 ↓ 43 , RAM cost:1.7790 GB   
  48: ↑ 48 ↓ 42 , RAM cost:1.7790 GB   
  48: ↑ 48 ↓ 41 , RAM cost:1.7790 GB   
  48: ↑ 48 ↓ 40 , RAM cost:1.7790 GB   
  48: ↑ 48 ↓ 39 , RAM cost:1.7790 GB   
  48: ↑ 48 ↓ 38 , RAM cost:1.7790 GB   
  48: ↑ 48 ↓ 37 , RAM cost:1.7790 GB   
  48: ↑ 48 ↓ 36 , RAM cost:1.7790 GB   
  48: ↑ 48 ↓ 35 , RAM cost:1.7790 GB   
  48: ↑ 48 ↓ 34 , RAM cost:1.7790 GB   
  48: ↑ 48 ↓ 33 , RAM cost:1.7790 GB   
  48: ↑ 48 ↓ 32 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓ 31 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓ 30 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓ 29 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓ 28 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓ 27 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓ 26 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓ 25 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓ 24 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓ 23 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓ 22 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓ 21 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓ 20 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓ 19 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓ 18 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓ 17 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓ 16 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓ 15 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓ 14 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓ 13 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓ 12 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓ 11 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓ 10 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓  9 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓  8 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓  7 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓  6 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓  5 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓  4 , RAM cost:1.6486 GB   
  48: ↑ 48 ↓  3 , RAM cost:1.6486 GB   slope: -0.08341, walltime: 14.977 sec, max_RAM_cost: 1.779 GB

Intial Slope = -0.08625
Starting svp pump_{120, 60, 10}

  50: ↑ 50   , RAM cost:1.7831 GB    
  50: ↑ 50 ↓ 49 , RAM cost:1.7831 GB   
  50: ↑ 50 ↓ 48 , RAM cost:1.7831 GB   
