Test6. Start Pump Simulator Test 

Intial Slope = -0.08682
Starting svp pump_{130, 50, 5}

  45: ↑ 45   , RAM cost:1.7435 GB    
  45: ↑ 45 ↓ 44 , RAM cost:1.7436 GB   
  45: ↑ 45 ↓ 43 , RAM cost:1.7436 GB   
  45: ↑ 45 ↓ 42 , RAM cost:1.7447 GB   
  45: ↑ 45 ↓ 41 , RAM cost:1.7447 GB   
  45: ↑ 45 ↓ 40 , RAM cost:1.7450 GB   
  45: ↑ 45 ↓ 39 , RAM cost:1.7450 GB   
  45: ↑ 45 ↓ 38 , RAM cost:1.7451 GB   
  45: ↑ 45 ↓ 37 , RAM cost:1.7451 GB   
  45: ↑ 45 ↓ 36 , RAM cost:1.7451 GB   
  45: ↑ 45 ↓ 35 , RAM cost:1.7455 GB   
  45: ↑ 45 ↓ 34 , RAM cost:1.7455 GB   
  45: ↑ 45 ↓ 33 , RAM cost:1.7455 GB   
  45: ↑ 45 ↓ 32 , RAM cost:1.6224 GB   
  45: ↑ 45 ↓ 31 , RAM cost:1.6226 GB   
  45: ↑ 45 ↓ 30 , RAM cost:1.6226 GB   
  45: ↑ 45 ↓ 29 , RAM cost:1.6226 GB   
  45: ↑ 45 ↓ 28 , RAM cost:1.6226 GB   
  45: ↑ 45 ↓ 27 , RAM cost:1.6226 GB   
  45: ↑ 45 ↓ 26 , RAM cost:1.6226 GB   
  45: ↑ 45 ↓ 25 , RAM cost:1.6226 GB   
  45: ↑ 45 ↓ 24 , RAM cost:1.6226 GB   
  45: ↑ 45 ↓ 23 , RAM cost:1.6226 GB   
  45: ↑ 45 ↓ 22 , RAM cost:1.6227 GB   
  45: ↑ 45 ↓ 21 , RAM cost:1.6227 GB   
  45: ↑ 45 ↓ 20 , RAM cost:1.6227 GB   
  45: ↑ 45 ↓ 19 , RAM cost:1.6227 GB   
  45: ↑ 45 ↓ 18 , RAM cost:1.6227 GB   
  45: ↑ 45 ↓ 17 , RAM cost:1.6227 GB   
  45: ↑ 45 ↓ 16 , RAM cost:1.6227 GB   
  45: ↑ 45 ↓ 15 , RAM cost:1.6227 GB   
  45: ↑ 45 ↓ 14 , RAM cost:1.6227 GB   
  45: ↑ 45 ↓ 13 , RAM cost:1.6227 GB   
  45: ↑ 45 ↓ 12 , RAM cost:1.6227 GB   
  45: ↑ 45 ↓ 11 , RAM cost:1.6227 GB   
  45: ↑ 45 ↓ 10 , RAM cost:1.6227 GB   
  45: ↑ 45 ↓  9 , RAM cost:1.6227 GB   
  45: ↑ 45 ↓  8 , RAM cost:1.6227 GB   
  45: ↑ 45 ↓  7 , RAM cost:1.6227 GB   
  45: ↑ 45 ↓  6 , RAM cost:1.6227 GB   
  45: ↑ 45 ↓  5 , RAM cost:1.6227 GB   
  45: ↑ 45 ↓  4 , RAM cost:1.6227 GB   
  45: ↑ 45 ↓  3 , RAM cost:1.6227 GB   slope: -0.08632, walltime: 14.502 sec, max_RAM_cost: 1.745 GB

Intial Slope = -0.08892
Starting svp pump_{130, 50, 5}

  45: ↑ 45   , RAM cost:1.7665 GB    
  45: ↑ 45 ↓ 44 , RAM cost:1.7665 GB   
  45: ↑ 45 ↓ 43 , RAM cost:1.7665 GB   
  45: ↑ 45 ↓ 42 , RAM cost:1.7665 GB   
