-------------------------
Primal attack, LWE challenge n=60, alpha=0.0100
Chose 221 samples. Predict solution at bkz-92 + svp-122

GSO precision:  dd
Intial Slope = -0.06571

Starting a pnjBKZ-51 tour. 

 k:0, b:46, f:0 , RAM cost: 0.1162 GB 
 k:0, b:47, f:1 , RAM cost: 0.1169 GB 
 k:0, b:48, f:2 , RAM cost: 0.1169 GB 
 k:0, b:49, f:3 , RAM cost: 0.1169 GB 
 k:0, b:50, f:4 , RAM cost: 0.1169 GB 
 k:0, b:51, f:5 , RAM cost: 0.1171 GB 
 k:0, b:52, f:6 , RAM cost: 0.1171 GB 
 k:0, b:53, f:7 , RAM cost: 0.1171 GB 
 k:0, b:54, f:8 , RAM cost: 0.1171 GB 
 k:0, b:55, f:9 , RAM cost: 0.1171 GB 
 k:0, b:56, f:10 , RAM cost: 0.1171 GB 
 k:0, b:57, f:11 , RAM cost: 0.1171 GB 
 k:0, b:58, f:12 , RAM cost: 0.1171 GB 
 k:0, b:59, f:13 , RAM cost: 0.1171 GB 
 k:0, b:60, f:14 , RAM cost: 0.1171 GB 
 k:0, b:61, f:15 , RAM cost: 0.1171 GB 
 k:0, b:62, f:16 , RAM cost: 0.1171 GB 
 k:0, b:63, f:17 , RAM cost: 0.1171 GB 
 k:1, b:63, f:17 , RAM cost: 0.1171 GB 
 k:2, b:63, f:17 , RAM cost: 0.1171 GB 
 k:3, b:63, f:17 , RAM cost: 0.1171 GB 
 k:4, b:63, f:17 , RAM cost: 0.1171 GB 
 k:5, b:63, f:17 , RAM cost: 0.1171 GB 
 k:6, b:63, f:17 , RAM cost: 0.1171 GB 
 k:7, b:63, f:17 , RAM cost: 0.1171 GB 
 k:8, b:63, f:17 , RAM cost: 0.1173 GB 
 k:9, b:63, f:17 , RAM cost: 0.1178 GB 
 k:10, b:63, f:17 , RAM cost: 0.1183 GB 
 k:11, b:63, f:17 , RAM cost: 0.1186 GB 
 k:12, b:63, f:17 , RAM cost: 0.1186 GB 
 k:13, b:63, f:17 , RAM cost: 0.1186 GB 
 k:14, b:63, f:17 , RAM cost: 0.1186 GB 
 k:15, b:63, f:17 , RAM cost: 0.1186 GB 
 k:16, b:63, f:17 , RAM cost: 0.1186 GB 
 k:17, b:63, f:17 , RAM cost: 0.1186 GB 
 k:18, b:63, f:17 , RAM cost: 0.1186 GB 
