New Strategy:
n = 75, alpha = 0.005, jump = 1, goal_margin = 1.50, MAX_TIME = inf h
Blocksize strategy selection process: -401683.590409 --> -401683.590409, len_BS = 1
Blocksize strategy selection process: -342845.723206 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -292646.601660 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -249780.270306 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -213192.919652 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -181964.816253 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -155310.947511 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -132570.476787 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -113151.799265 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -96577.533604 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -82431.035632 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -70356.690442 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -60055.135497 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -51258.370652 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -43750.139602 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -37341.700310 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -31871.957317 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -27205.297793 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -23220.316238 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -19819.047389 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -16915.990092 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -14438.167242 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -12324.145502 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -10518.927530 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -8978.134538 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -7663.034045 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -6540.567033 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -5582.903871 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -4765.130468 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -4067.142996 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -3471.395435 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -2962.911871 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -2529.085333 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -2158.629605 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -1842.437545 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -1572.560711 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -1342.214935 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -1145.689191 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -977.870764 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -834.634068 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -712.378418 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -608.030549 --> -40.563212, len_BS = 72
Blocksize strategy selection process: -519.003335 --> -40.563212, len_BS = 72
