Start pump cost test with saturation_ratio = 3.00:

Starting a pnjBKZ-80 tour. 
Intial Slope = -0.08682, beta-f = 63
 k:0, b:63, f:0 , RAM cost: 0.1026 GB 3.0
 k:0, b:64, f:1 , RAM cost: 1.6572 GB 3.0
 k:0, b:65, f:2 , RAM cost: 1.6601 GB 3.0
 k:0, b:66, f:3 , RAM cost: 1.6621 GB 3.0
 k:0, b:67, f:4 , RAM cost: 1.6665 GB 3.0
 k:0, b:68, f:5 , RAM cost: 1.6686 GB 3.0
 k:0, b:69, f:6 , RAM cost: 1.6706 GB 3.0
 k:0, b:70, f:7 , RAM cost: 1.6726 GB 3.0
 k:0, b:71, f:8 , RAM cost: 1.6769 GB 3.0
 k:0, b:72, f:9 , RAM cost: 1.6810 GB 3.0
 k:0, b:73, f:10 , RAM cost: 1.6850 GB 3.0
 k:0, b:74, f:11 , RAM cost: 1.6871 GB 3.0
 k:0, b:75, f:12 , RAM cost: 1.6893 GB 3.0
 k:0, b:76, f:13 , RAM cost: 1.6914 GB 3.0
 k:0, b:77, f:14 , RAM cost: 1.6913 GB 3.0
 k:0, b:78, f:15 , RAM cost: 1.6914 GB 3.0
 k:0, b:79, f:16 , RAM cost: 1.6935 GB 3.0
 k:0, b:80, f:17 , RAM cost: 1.6956 GB 3.0
 k:0, b:81, f:18 , RAM cost: 1.6974 GB 3.0
 k:0, b:82, f:19 , RAM cost: 1.6978 GB 3.0
 k:0, b:83, f:20 , RAM cost: 1.6995 GB 3.0
 k:0, b:84, f:21 , RAM cost: 1.7020 GB 3.0
 k:0, b:85, f:22 , RAM cost: 1.7019 GB 3.0
 k:0, b:86, f:23 , RAM cost: 1.7023 GB 3.0
 k:0, b:87, f:24 , RAM cost: 1.7041 GB 3.0
 k:0, b:88, f:25 , RAM cost: 1.7039 GB 3.0
 k:0, b:89, f:26 , RAM cost: 1.7040 GB 3.0
 k:0, b:90, f:27 , RAM cost: 1.7039 GB 3.0
 k:0, b:91, f:28 , RAM cost: 1.7041 GB 3.0
 k:0, b:92, f:29 , RAM cost: 1.7043 GB 3.0
 k:1, b:92, f:29 , RAM cost: 1.7062 GB 3.0
 k:2, b:92, f:29 , RAM cost: 1.7066 GB 3.0
 k:3, b:92, f:29 , RAM cost: 1.7066 GB 3.0
 k:4, b:92, f:29 , RAM cost: 1.7084 GB 3.0
 k:5, b:92, f:29 , RAM cost: 1.7088 GB 3.0
 k:6, b:92, f:29 , RAM cost: 1.7089 GB 3.0
 k:7, b:92, f:29 , RAM cost: 1.7088 GB 3.0
 k:8, b:92, f:29 , RAM cost: 1.7087 GB 3.0
 k:9, b:92, f:29 , RAM cost: 1.7089 GB 3.0
 k:10, b:92, f:29 , RAM cost: 1.7089 GB 3.0
 k:11, b:92, f:29 , RAM cost: 1.7110 GB 3.0
 k:12, b:92, f:29 , RAM cost: 1.7110 GB 3.0
 k:13, b:92, f:29 , RAM cost: 1.7108 GB 3.0
 k:14, b:92, f:29 , RAM cost: 1.7111 GB 3.0
 k:15, b:92, f:29 , RAM cost: 1.7110 GB 3.0
 k:16, b:92, f:29 , RAM cost: 1.7132 GB 3.0
 k:17, b:92, f:29 , RAM cost: 1.7133 GB 3.0
 k:18, b:92, f:29 , RAM cost: 1.7152 GB 3.0
 k:19, b:92, f:29 , RAM cost: 1.7152 GB 3.0
 k:20, b:92, f:29 , RAM cost: 1.7151 GB 3.0
 k:21, b:92, f:29 , RAM cost: 1.7152 GB 3.0
 k:22, b:92, f:29 , RAM cost: 1.7151 GB 3.0
 k:23, b:92, f:29 , RAM cost: 1.7152 GB 3.0
 k:24, b:92, f:29 , RAM cost: 1.7152 GB 3.0
 k:25, b:92, f:29 , RAM cost: 1.7154 GB 3.0
 k:26, b:92, f:29 , RAM cost: 1.7154 GB 3.0
 k:27, b:92, f:29 , RAM cost: 1.7154 GB 3.0
 k:28, b:92, f:29 , RAM cost: 1.7153 GB 3.0
 k:29, b:92, f:29 , RAM cost: 1.7152 GB 3.0
 k:30, b:92, f:29 , RAM cost: 1.7153 GB 3.0
 k:31, b:92, f:29 , RAM cost: 1.7152 GB 3.0
 k:32, b:92, f:29 , RAM cost: 1.7155 GB 3.0
 k:33, b:92, f:29 , RAM cost: 1.7155 GB 3.0
 k:34, b:92, f:29 , RAM cost: 1.7153 GB 3.0
 k:35, b:92, f:29 , RAM cost: 1.7154 GB 3.0
 k:36, b:92, f:29 , RAM cost: 1.7154 GB 3.0
 k:37, b:92, f:29 , RAM cost: 1.7172 GB 3.0
 k:38, b:92, f:29 , RAM cost: 1.7175 GB 3.0
 k:39, b:92, f:29 , RAM cost: 1.7176 GB 3.0
 k:40, b:92, f:29 , RAM cost: 1.7175 GB 3.0
 k:41, b:92, f:29 , RAM cost: 1.7174 GB 3.0
 k:42, b:92, f:29 , RAM cost: 1.7175 GB 3.0
 k:43, b:92, f:29 , RAM cost: 1.7175 GB 3.0
 k:44, b:92, f:29 , RAM cost: 1.7175 GB 3.0
 k:45, b:92, f:29 , RAM cost: 1.7175 GB 3.0
 k:46, b:92, f:29 , RAM cost: 1.7174 GB 3.0
 k:47, b:92, f:29 , RAM cost: 1.7175 GB 3.0
 k:48, b:92, f:29 , RAM cost: 1.7178 GB 3.0
 k:49, b:92, f:29 , RAM cost: 1.7177 GB 3.0
 k:50, b:92, f:29 , RAM cost: 1.7180 GB 3.0
 k:51, b:92, f:29 , RAM cost: 1.7179 GB 3.0
 k:52, b:92, f:29 , RAM cost: 1.7180 GB 3.0
 k:53, b:92, f:29 , RAM cost: 1.7181 GB 3.0
 k:54, b:92, f:29 , RAM cost: 1.7182 GB 3.0
 k:55, b:92, f:29 , RAM cost: 1.7181 GB 3.0
 k:56, b:92, f:29 , RAM cost: 1.7181 GB 3.0
 k:57, b:92, f:29 , RAM cost: 1.7182 GB 3.0
 k:58, b:92, f:29 , RAM cost: 1.7183 GB 3.0
 k:59, b:92, f:29 , RAM cost: 1.7181 GB 3.0
 k:60, b:92, f:29 , RAM cost: 1.7180 GB 3.0
 k:61, b:92, f:29 , RAM cost: 1.7200 GB 3.0
 k:62, b:92, f:29 , RAM cost: 1.7199 GB 3.0
 k:63, b:92, f:29 , RAM cost: 1.7201 GB 3.0
 k:64, b:92, f:29 , RAM cost: 1.7201 GB 3.0
 k:65, b:92, f:29 , RAM cost: 1.7203 GB 3.0
 k:66, b:92, f:29 , RAM cost: 1.7204 GB 3.0
 k:67, b:92, f:29 , RAM cost: 1.7205 GB 3.0
 k:68, b:92, f:29 , RAM cost: 1.7203 GB 3.0
 k:69, b:92, f:29 , RAM cost: 1.7204 GB 3.0
 k:70, b:92, f:29 , RAM cost: 1.7203 GB 3.0
 k:71, b:92, f:29 , RAM cost: 1.7203 GB 3.0
 k:72, b:92, f:29 , RAM cost: 1.7204 GB 3.0
 k:73, b:92, f:29 , RAM cost: 1.7205 GB 3.0
 k:74, b:92, f:29 , RAM cost: 1.7202 GB 3.0
 k:75, b:92, f:29 , RAM cost: 1.7203 GB 3.0
 k:76, b:92, f:29 , RAM cost: 1.7204 GB 3.0
 k:77, b:92, f:29 , RAM cost: 1.7203 GB 3.0
 k:78, b:92, f:29 , RAM cost: 1.7204 GB 3.0
 k:79, b:92, f:29 , RAM cost: 1.7207 GB 3.0
 k:80, b:92, f:29 , RAM cost: 1.7206 GB 3.0
 k:81, b:92, f:29 , RAM cost: 1.7204 GB 3.0
 k:82, b:92, f:29 , RAM cost: 1.7208 GB 3.0
 k:83, b:92, f:29 , RAM cost: 1.7208 GB 3.0
 k:84, b:92, f:29 , RAM cost: 1.7208 GB 3.0
 k:85, b:92, f:29 , RAM cost: 1.7208 GB 3.0
 k:86, b:92, f:29 , RAM cost: 1.7207 GB 3.0
 k:87, b:92, f:29 , RAM cost: 1.7207 GB 3.0
 k:88, b:92, f:29 , RAM cost: 1.7207 GB 3.0
 k:89, b:91, f:28 , RAM cost: 1.7206 GB 3.0
 k:90, b:90, f:27 , RAM cost: 1.7207 GB 3.0
 k:91, b:89, f:26 , RAM cost: 1.7206 GB 3.0
 k:92, b:88, f:25 , RAM cost: 1.7206 GB 3.0
 k:93, b:87, f:24 , RAM cost: 1.7208 GB 3.0
 k:94, b:86, f:23 , RAM cost: 1.7208 GB 3.0
 k:95, b:85, f:22 , RAM cost: 1.7209 GB 3.0
 k:96, b:84, f:21 , RAM cost: 1.7206 GB 3.0
 k:97, b:83, f:20 , RAM cost: 1.7209 GB 3.0
 k:98, b:82, f:19 , RAM cost: 1.7208 GB 3.0
 k:99, b:81, f:18 , RAM cost: 1.7207 GB 3.0
 k:100, b:80, f:17 , RAM cost: 1.7209 GB 3.0
 k:101, b:79, f:16 , RAM cost: 1.7208 GB 3.0
 k:102, b:78, f:15 , RAM cost: 1.7206 GB 3.0
 k:103, b:77, f:14 , RAM cost: 1.7205 GB 3.0
 k:104, b:76, f:13 , RAM cost: 1.7208 GB 3.0
 k:105, b:75, f:12 , RAM cost: 1.7209 GB 3.0
 k:106, b:74, f:11 , RAM cost: 1.7207 GB 3.0
 k:107, b:73, f:10 , RAM cost: 1.7207 GB 3.0
 k:108, b:72, f:9 , RAM cost: 1.7208 GB 3.0
 k:109, b:71, f:8 , RAM cost: 1.7205 GB 3.0
 k:110, b:70, f:7 , RAM cost: 1.7206 GB 3.0
 k:111, b:69, f:6 , RAM cost: 1.7206 GB 3.0
 k:112, b:68, f:5 , RAM cost: 1.7206 GB 3.0
 k:113, b:67, f:4 , RAM cost: 1.7206 GB 3.0
 k:114, b:66, f:3 , RAM cost: 1.7208 GB 3.0
